,actor.id,repo.id
487,7751315,27552091
488,597089,28649126
489,299901,28665759
493,5779735,23215539
495,360595,19625428
499,161631,22484898
502,1341245,17165658
506,2160337,28603543
507,4062890,17313482
508,236741,28671124
511,277474,27626910
512,7959361,28659820
513,3119506,28203862
514,280212,21481110
515,986997,13102076
516,5389574,26808537
518,1341245,17165658
519,2285387,10592993
520,8033682,26363171
521,594059,19122406
522,6811910,21915008
523,2615272,26657616
524,10085204,28677465
525,7876796,18493101
526,1280497,28677313
528,33424,28674894
529,5047684,28675663
530,7283378,26171734
535,2937573,28642721
537,9835569,2126244
539,2566314,28676149
540,7603502,28123202
541,150887,28547116
543,3698908,26456499
544,5095603,4534921
545,7377949,19047649
546,1310570,11317725
547,5593699,18327496
548,5623501,28677574
549,1341245,17165658
553,1317792,10446270
554,2925915,28677535
555,1495846,8255002
557,501082,28460492
558,8930453,27681002
559,5403148,28521524
560,1181205,28657751
561,6106568,28677471
563,8924713,28645826
564,8336555,24660814
565,5779735,23215539
570,21159,27745813
571,1030961,12899667
572,814322,28368826
573,40799,2719509
574,277474,22803845
577,3386273,18156369
583,944319,28674177
586,6517097,26688311
589,161631,22484898
595,8339280,28677282
596,153271,27733828
597,880411,22005660
598,3733972,28585822
599,1235441,11671912
600,4568682,25889101
601,10032418,28675935
602,445867,28676936
605,943342,28422819
606,628429,28580097
607,5403148,28521524
608,3701374,18069451
609,9201970,25173910
611,6214365,28669435
613,1658412,4307256
615,944319,28674177
616,5349561,27149627
617,234279,24012813
618,277474,22803845
620,280212,21481110
621,45936,28667487
622,476440,28647308
624,594059,19122406
625,447792,15714889
627,3013175,27949680
630,3960243,27769288
632,5730326,23149310
633,7850165,28609047
634,10178018,28507874
636,8236771,28677591
637,1275021,3016562
638,10361273,28677442
640,3310280,25415167
642,7187705,28538540
643,6895040,18620619
644,7702743,20652730
645,537127,21009348
647,688464,28613718
648,5714523,28676124
649,57142,23478996
650,5432054,12745236
651,5830534,28665709
652,10332868,28570305
653,5696529,28677478
657,9728079,26607117
659,2961036,22234733
661,1319679,18201810
662,5779735,23215539
663,5976354,26736070
671,7486809,28677218
672,1307829,24916708
673,19950,23808489
675,666646,1284106
685,1255675,28675554
686,5345794,25004562
687,864992,28645091
689,5706175,28489979
691,2874368,28406300
692,803768,24404721
693,3143487,14438995
694,5418235,25416529
695,6462673,28575999
696,518231,14871077
697,6561166,22066165
698,3359009,28648343
702,88622,12340319
703,1908631,26097685
704,1750941,28465891
705,2359092,28639200
706,10332868,28570305
707,940916,24911421
709,6158630,18126008
711,8856719,28290209
715,22410,24398157
718,6158630,15100395
721,6644994,28677357
722,1684950,28650038
723,280212,21481110
724,8658959,28229892
728,10352573,28669115
733,7047496,28280752
734,903479,790019
737,1246453,3814316
738,4367771,28435190
744,22410,24398157
745,1133652,18115347
746,9788541,28644972
748,1653619,20941068
750,2566314,28676149
751,376661,23188313
752,501082,28647685
753,2049650,19821157
754,539575,21544147
757,447792,15714889
758,1373703,20268125
761,8660957,28321956
762,5807972,27900443
763,10296651,28649440
764,5342037,25254705
765,965580,28421758
769,6035184,14699527
770,378310,27511719
771,2779282,24451324
772,4521848,28634384
774,6734064,28657214
775,7110446,28677428
777,420995,3752513
778,445867,28676936
779,7000887,27058156
781,8648335,28673982
782,10298641,28611069
785,8033682,26363171
786,3884744,28249752
787,87479,7721013
788,6325631,27980067
789,3003634,23549889
790,10148684,27847923
791,2031163,28650641
792,1653619,20941068
794,5123221,23682880
795,8323759,6078190
796,4733312,16301255
798,1075619,28029674
799,4269377,28677575
800,529580,28654233
802,1181205,28657751
805,378310,27511719
808,4284104,28613776
809,7460581,28677460
810,3332580,19750688
813,280212,21481110
814,2112033,28676854
815,476440,28647308
816,25653,28230641
819,1275021,3016562
821,971991,28677511
823,3173496,28674650
828,2286826,28363453
831,537127,21009348
833,613568,12983585
835,115089,12997400
837,7907941,23779634
841,1632746,14234456
843,2011002,28677459
844,1608583,26138135
845,2788934,27733909
846,5779735,23215539
847,111044,2847947
848,3887896,28667688
849,556505,15572464
851,220012,2735237
855,10321375,28674110
856,2615272,26657616
858,2875946,13516504
859,7047496,28280787
860,5344121,15488440
869,3701374,18069451
870,9792856,28166542
872,10313856,28540040
873,28673,25138762
874,6561166,22066165
875,831867,7512484
876,1205126,24071128
877,157520,27960100
878,9000293,27146993
881,9712369,28056637
883,9201970,25173910
884,10346381,28620734
885,9941464,28674656
887,8843757,24266969
889,10168430,28586081
890,1170565,28644664
892,8495531,28675866
895,597089,28649126
896,833072,28677525
898,3128407,25450714
901,157093,28173900
905,179734,302322
906,3144970,23141542
907,3960243,27287395
908,153271,27733828
912,6608916,23863224
915,1736496,10670501
917,8943887,27945902
919,3960243,27287679
921,10085204,28677465
922,5344121,15488440
923,9730086,28677288
924,7866361,20753922
925,8479239,28639904
928,280212,21481110
929,428886,28635402
930,2525683,28153948
932,25653,20606216
934,4229405,27282606
935,1170565,28562428
938,4674581,28405862
939,7841618,28676566
947,266668,981363
952,9755468,26832780
953,1181205,28657751
955,5344121,15488440
961,3299558,24589839
962,24908,27546224
963,5897669,14284550
964,9837783,26845650
965,137,28648528
967,10313856,28540040
969,6893938,20837913
973,2961036,22234733
974,3820621,28578059
975,6738431,28610547
976,353209,23720414
977,3067317,28002536
978,303951,28555690
988,3216657,28576167
989,8682846,28666777
990,2506703,18478437
992,5510799,28675414
993,7883556,27676866
994,8660957,28321956
997,9216786,28269859
1000,512386,25924523
1001,6133706,28213857
1002,6064408,28595435
1003,10313856,28540040
1005,1129144,3295353
1006,5857237,28550492
1007,2453862,28160579
1008,1981539,28192167
1010,236741,28671124
1014,685076,28675057
1015,4297022,28675268
1016,5114528,27008640
1017,8136241,21739906
1018,5393499,22319594
1019,833377,26193401
1020,2463785,24712923
1021,2779282,24451324
1026,5623501,28677574
1029,1205228,6410069
1031,280212,21481110
1032,6561166,22066165
1033,44707,26731726
1034,952340,27697181
1036,1377,28646975
1038,5807972,27900443
1042,541725,1204412
1043,33424,28674894
1045,5184102,2365549
1048,551491,13174854
1049,365243,862712
1050,4464082,28473168
1054,7566337,28666898
1061,4443263,28677492
1062,325476,2945543
1064,102580,28077836
1065,5114528,27008640
1066,23465,23587004
1067,3459800,28677612
1069,5355937,28527820
1071,10346381,28620734
1073,5619798,26945962
1075,391350,26162869
1077,833997,8869463
1078,1148549,4542716
1080,572844,28672105
1082,8162496,21927560
1083,770578,15748552
1086,1542825,28677504
1087,1261574,22235943
1088,827324,28605427
1089,4181161,28090675
1092,10358342,28677509
1093,153271,27733828
1094,5378975,27845488
1095,512386,25924523
1098,5152015,23894441
1101,3777877,28416782
1102,1225898,26503318
1105,8726826,28001861
1106,2010424,28656590
1115,5498199,20284114
1119,301415,20724
1122,8302001,28653992
1123,5659700,23076963
1127,7227500,28670185
1129,7929451,25135859
1130,1694,3224481
1132,429529,7588969
1134,27622,10794423
1138,1129144,5383214
1139,1916193,28464039
1140,280212,21481110
1141,7850165,28609047
1142,2049650,19821157
1148,810348,28670845
1150,1868186,15943682
1155,380744,13360824
1156,1071302,26454971
1157,7866361,20753922
1160,5114842,25803741
1163,1468831,15790644
1164,4367771,28435190
1165,58760,28610523
1166,4421720,27840098
1167,9201970,25173910
1168,372027,27989628
1169,8471860,23043434
1170,1661812,28677540
1171,1349353,28649581
1172,1136739,25250498
1174,5535320,27847939
1175,2809946,28375589
1176,3960243,27769288
1179,940272,22535174
1181,6965522,24850545
1188,1129144,3253872
1189,129097,229738
1191,428886,28635402
1193,45936,28667487
1195,7957761,28612522
1196,6833682,28572292
1199,137,28648528
1201,7486809,28677218
1202,10068043,28474720
1207,810348,28670845
1208,1648240,15036238
1209,685076,19688633
1210,1993227,1331548
1211,9901767,28670194
1212,1611120,28677588
1214,622120,27102916
1218,7576912,24155672
1219,10233291,28677630
1222,592109,21929384
1226,6851464,17480926
1230,744293,23890761
1231,2180540,10415898
1232,9164578,25259522
1233,2101211,13431919
1239,10361273,28677442
1240,7334469,28677361
1241,280212,21481110
1242,4326912,28674603
1243,9216786,28269859
1246,284143,28364831
1247,2041564,7360528
1250,9192640,28370316
1251,8347069,28286311
1254,3621988,27951593
1255,98647,28676647
1257,153279,615096
1258,10360207,28673271
1260,1237191,18020014
1264,9452791,28676949
1265,1765983,27712061
1266,120314,13668558
1273,6952202,26346969
1274,3759320,13499745
1275,113896,21627244
1277,1803556,28643777
1278,510877,28595187
1281,87436,28373474
1283,5714523,28676124
1284,1129144,3295344
1286,7256509,28677457
1287,8453732,22973515
1290,5623501,28677574
1291,3770344,25440481
1293,5728403,25392255
1294,6952202,26346969
1296,1148549,4542716
1297,12637,9399334
1299,1264398,26037350
1306,2819398,28653566
1315,5623501,28677574
1316,4140656,28014718
1318,6818498,24320625
1319,2875833,21995378
1320,7242323,28248830
1323,2487846,26031830
1324,8361299,22637619
1325,8278290,25000895
1326,572844,28672105
1327,553936,28508978
1328,208955,26142407
1330,512386,25924523
1335,1075619,28029674
1338,9688418,28677368
1339,7127407,28523648
1342,9118791,28238714
1343,10360207,28673271
1344,194215,28647496
1347,8955320,27477541
1348,280212,21481110
1351,9837783,26845650
1355,737657,28675900
1357,108685,28673392
1359,7526014,28615167
1362,5424351,21368887
1363,584009,27093512
1364,963093,14895592
1366,42846,27027721
1367,4193711,28677644
1369,9947271,27126657
1370,10359335,28675707
1371,21159,27745813
1374,211517,28677207
1375,4865705,28057928
1376,1734660,28676236
1377,6763356,27655686
1379,12637,9399334
1381,899410,26391646
1382,2681312,6453341
1384,5714523,28676124
1386,7576912,28677573
1387,299901,28665759
1388,5500712,28006225
1390,3008744,23500192
1391,1787100,28083399
1394,1553632,17371412
1397,1237357,28254325
1403,1198183,10257627
1407,5143070,16937043
1408,592109,21930526
1409,1694,3224481
1410,2112033,28676854
1411,10023157,17268927
1412,8675834,23728095
1413,6158630,18126008
1414,926454,9457897
1416,6158630,15100395
1417,7657566,20020926
1422,510877,25138592
1423,10360207,28673271
1424,9540581,26140981
1425,3094277,16188576
1426,9933603,28551531
1427,1856621,20291263
1432,5394641,28383560
1433,6763356,24037800
1436,3180534,20567458
1437,1317792,15526570
1440,1317792,15526570
1441,56633,1323458
1442,8119338,28617774
1443,9947271,27126657
1445,1143966,1380117
1448,3759320,13499745
1450,926354,22842736
1451,302282,28661023
1455,71317,16833966
1456,280212,21481110
1459,5807972,27900443
1462,4367771,28435190
1464,525838,9693534
1465,447792,15714889
1466,10085204,28677465
1468,9201970,25173910
1469,1508735,28677613
1470,8388026,28645199
1471,56633,6943969
1472,1016379,28203701
1473,6927151,20107959
1477,43683,23672808
1480,9805522,27985956
1481,6895040,18620619
1482,3180534,20567458
1484,1356088,26995510
1485,1400864,15477991
1487,510877,28595187
1489,10068043,28474720
1490,1787100,28083399
1491,7334469,28677361
1495,1944053,10033802
1496,8019881,21329550
1497,1500580,24103115
1500,885356,19718418
1502,5124519,28635182
1503,34314,28457115
1505,10100503,27649053
1506,6357013,15760311
1508,1373703,20268125
1509,748069,5384390
1510,5623501,28677661
1511,367618,756568
1513,160338,27011869
1514,6520916,27150469
1515,584009,27093512
1519,59200,13544898
1521,705947,28653186
1525,6392429,26197772
1526,1166237,27676237
1527,59200,13544898
1528,1558033,9203569
1529,814772,3925157
1530,810348,28670845
1531,1314371,28217706
1532,8660957,28321956
1534,1477455,28463415
1536,994093,5575106
1538,994093,5575106
1540,4829,23362570
1541,10254849,28525122
1542,6895034,21103899
1543,3890972,26382386
1547,1218561,28547499
1548,8056798,21457582
1549,67381,28644255
1550,1319333,28530868
1552,10335052,28677419
1553,2180540,10415898
1556,2590908,28646094
1559,5655775,28563619
1560,280212,21481110
1562,9164881,28677292
1563,5661392,20266334
1564,3357284,28539450
1566,101480,3712825
1568,9135474,28677537
1570,1313183,3130735
1573,8658585,28551416
1574,6378485,15838380
1575,8376281,28279752
1576,161548,14473933
1577,9409473,25796998
1580,388637,28657642
1583,10313856,28540040
1585,6600123,28542904
1587,10360207,28673271
1588,2987505,28677664
1589,293720,28544771
1595,8228133,26234558
1598,814772,3925242
1599,102631,1223928
1602,1201934,27409568
1604,6324595,28490006
1606,419884,2126244
1607,4443263,28677492
1608,10262377,27978780
1609,1769841,27930623
1610,6894155,28529596
1612,622120,27102916
1613,56633,254354
1618,429706,28254077
1619,5331106,28645692
1621,3259988,28620299
1622,1423378,26056009
1624,4188511,25400011
1627,43683,23672808
1628,57162,25276289
1629,4530271,26665321
1630,10068043,28474720
1631,7576912,28677573
1633,250144,4044891
1635,1226339,6568555
1640,1922921,28676656
1641,685076,19688633
1642,7252832,18719937
1644,367618,860274
1645,1802542,4967600
1646,1423378,26863548
1648,9959680,27589092
1651,7787407,28152187
1655,580225,28580409
1656,10355294,28674491
1657,4616229,27056061
1658,9643090,27897584
1659,9716869,26643379
1663,280212,21481110
1664,5404873,24333720
1665,8966018,28064757
1666,44707,26731726
1670,5787388,28430461
1671,842721,28674076
1673,9339421,28333790
1675,137,28648528
1676,367618,860274
1677,5728403,25392255
1679,1162160,23025348
1683,419884,2126244
1685,50891,28677563
1687,5779735,23215539
1688,5095603,4537725
1689,54470,13573866
1690,8825007,28674151
1691,164472,7569904
1692,9135474,26879382
1693,1505137,27265481
1694,2224787,27916112
1697,334176,6056031
1701,305455,22497156
1703,127889,28650635
1704,3475751,28116086
1705,4193711,28677644
1708,1144306,14734876
1710,8302001,28653992
1716,4779042,21256946
1718,10336437,28677283
1720,1505137,27265481
1722,2480948,7827081
1723,74928,6444385
1728,1468831,15790644
1729,10053946,27460855
1730,4231743,22773766
1731,1162160,23025348
1738,50891,28677563
1739,9040052,28674069
1740,50891,28677563
1741,956386,28645692
1742,484075,9736099
1743,10359605,28671838
1744,9480650,28661304
1747,5807972,27900443
1748,1728807,19712775
1750,3433835,28482774
1751,697548,28186451
1752,10202200,26648611
1756,3493763,28478834
1759,9201970,25173910
1760,6742515,28289272
1761,280212,21481110
1763,7694377,27577265
1764,2145676,22741510
1765,65053,1447887
1766,1012467,20632410
1769,9022181,27685956
1771,1465568,28003253
1775,1181205,28657751
1777,9956702,25345259
1778,2373357,28677510
1780,1143966,1380117
1782,1376714,28677219
1784,3949252,28370207
1786,2956172,28043560
1789,289202,21480985
1790,3103577,28633342
1791,1158804,19916900
1792,7662768,20041931
1793,419884,2126244
1795,2935303,28625031
1797,5925024,28647002
1799,351146,26296140
1800,137,28648528
1801,4764874,16531825
1804,8061991,28428078
1808,771345,19842476
1811,8040427,21401072
1813,406631,26146564
1814,4867510,28648852
1815,867447,28675054
1821,62953,5025610
1823,2752994,27881011
1824,10262377,27978780
1827,367618,14148013
1828,65053,1447887
1829,2678007,28673700
1831,9785624,28644972
1832,597897,27191539
1834,842721,28674076
1836,316014,28660671
1838,5219176,28677493
1839,1121789,25811730
1840,254896,28670488
1842,4568682,25889101
1844,5623501,28677661
1845,367618,11673915
1847,5068150,22265220
1848,66577,5152285
1852,1981539,28192167
1853,922196,28677638
1854,809314,10958379
1856,2488333,20387866
1859,280212,21481110
1864,1115865,28657383
1866,8347069,28286311
1868,684117,28468923
1869,4188511,25400011
1870,8119338,28617774
1872,8339280,28677282
1873,3602800,25692409
1874,9959680,28568553
1876,9688418,28677368
1879,1750837,23478795
1880,28153,18715057
1882,941526,2123336
1883,8592372,28676895
1886,10161953,28676586
1887,1468831,15790644
1888,3720783,20527117
1890,2319207,28650485
1891,367618,747311
1894,592109,21930526
1896,5503461,25844625
1900,10234718,28237285
1904,5047684,28675663
1905,3596952,8208289
1908,6042296,28675197
1909,433707,26847075
1910,4551878,10491111
1911,1249030,25339446
1913,79728,25106829
1914,1699192,28101516
1916,7718668,20239329
1917,184107,27638086
1920,25653,20606216
1924,2488333,20387866
1925,4406333,23116127
1928,3433835,28482774
1929,317994,23675643
1930,3720783,20527117
1935,5490627,27145416
1936,8059250,28596332
1937,76367,28517950
1939,827324,28605427
1940,428886,28635402
1941,1743252,28456975
1943,339422,27899581
1944,941526,2123340
1945,5018213,17873870
1948,6381138,27839626
1952,1163757,18411746
1954,7430331,25406543
1955,204340,28676860
1958,1571048,28033620
1959,378310,27511719
1963,3720783,20527117
1964,280212,21481110
1965,1946173,24353303
1966,6763379,19959218
1968,685076,19688633
1969,7094265,27144213
1970,457965,1369553
1973,3174763,16572329
1974,123110,2363776
1976,6763379,19961042
1977,10361315,28677587
1978,6763379,19961044
1979,46323,28157780
1980,9298431,28320317
1982,556505,15572464
1983,9084685,14552429
1984,10355660,28657737
1985,710117,3671342
1987,6763379,19961056
1990,334176,6207723
1991,10360207,28673271
1993,6763379,19993673
1994,4668188,28663198
1996,735008,28620211
1999,367618,779156
2001,389491,27690718
2002,21159,27745813
2009,5355937,28527820
2010,3991313,28356459
2012,1513475,28603059
2013,2359092,28639200
2016,7013073,28677643
2017,1181205,28657751
2020,491171,28203975
2021,231118,28201627
2024,7702743,20652730
2025,368057,2541322
2026,1684950,28650038
2028,142914,9614450
2030,422217,6842649
2036,2242,13793762
2037,9201970,25173910
2043,5779735,23215539
2044,405446,3540121
2045,2021709,28260983
2046,173656,2903810
2052,763917,15951934
2053,8841623,28588953
2055,6214365,28669435
2057,9643090,27897584
2060,10354058,28674532
2061,299901,28665759
2062,234489,24602136
2066,280212,21481110
2068,1319333,28530868
2069,9262607,28677666
2070,5104541,17190491
2071,9657371,28639483
2073,5636101,25383874
2074,8966018,28064757
2075,972314,27125072
2077,6724538,17739679
2079,3493763,28478834
2080,1760797,23223865
2082,6742515,28217013
2084,6158630,18126008
2086,926454,9457897
2088,2961036,22234733
2089,1517008,11549335
2091,278418,18600949
2092,6158630,15100395
2093,3823149,19108230
2094,3823149,19108230
2095,3823149,19108230
2096,5623501,28677661
2097,4381102,28677677
2099,405446,3542444
2102,9135474,28677070
2104,1045095,20319753
2105,5728403,25392255
2106,9220074,28542720
2109,7540669,28677316
2110,10286468,28527147
2112,7778620,27834135
2113,388637,28657642
2115,6035897,26301590
2116,7802430,22098808
2117,1128659,3186197
2119,6948926,23823448
2121,10352573,28669115
2123,9041575,28671282
2124,7070394,28554993
2129,227303,1803961
2136,701326,1550525
2137,9135474,26879389
2138,1734057,23079554
2140,2956634,16018083
2141,7486809,28677218
2142,210312,25281621
2143,1684950,28650038
2144,5149876,24384508
2146,5018213,17873870
2147,1059947,20835178
2148,6895040,18620619
2149,280212,21481110
2150,1130264,21853529
2151,1906512,28660708
2154,10211138,28675026
2156,1408578,27899381
2157,178734,28543683
2158,1585362,21992247
2161,4162343,8144625
2162,3793664,19352450
2164,451360,28320255
2165,367618,6485371
2166,4231743,22773766
2168,10161953,28676586
2170,3357284,28539450
2171,53785,19799491
2173,9135474,28667976
2175,1652699,28289664
2176,4568682,25889101
2178,1322515,28677702
2179,4535554,28209294
2180,6564514,23892939
2182,4942502,15009067
2183,6841829,27096824
2184,249285,27553648
2186,1971604,28673915
2191,819213,28571384
2192,4809376,17457530
2193,31769,28677217
2194,4081361,28654922
2197,249117,28010520
2198,7310102,28357820
2199,10345188,28615103
2200,429529,7588969
2202,3299558,24589839
2204,2094217,8930485
2205,1400864,15477991
2207,932918,8057761
2208,4809376,17457530
2212,367618,23811389
2216,10337495,28661427
2217,6214365,28669435
2218,176815,21054614
2219,6548646,27839746
2220,4809376,17457530
2222,1692862,28643519
2224,341094,28675713
2226,2666691,15666435
2232,6294337,13222817
2234,510877,28573657
2235,6742515,28178347
2236,1255375,3414627
2240,1075619,28029674
2241,1075619,28029674
2242,280212,21481110
2243,3333139,26908976
2244,2429104,25836225
2250,6841829,27096824
2251,711295,27416733
2252,406631,26146564
2253,1017605,28666633
2254,1745420,28675638
2257,5344121,15488440
2259,55057,28672165
2260,2066790,4158448
2261,458272,28367645
2264,2112033,28676854
2266,6509618,27242935
2270,6807088,28677601
2271,3578461,24312909
2272,1341245,688366
2273,1270790,28667818
2276,7540669,28677316
2279,10148684,27847923
2283,1341245,688366
2284,367618,756841
2288,1574519,22088187
2289,5570713,28677577
2292,7757751,28677645
2293,52883,28677604
2294,6509618,27242935
2295,2624357,27418269
2296,42681,22087319
2297,3044,27831948
2298,5623501,28677661
2300,8741669,28464320
2305,9201970,25173910
2307,433707,26847075
2310,6509618,27242935
2311,3677334,27236732
2312,1045095,20319753
2315,6064408,28595435
2316,10296544,28464320
2317,505681,25221839
2318,150855,28048763
2321,406631,26146564
2324,3973466,22603212
2325,6952202,26346969
2326,4411839,28676937
2327,171319,28672670
2328,6509618,27242935
2329,8324294,27670426
2330,1059947,20835178
2331,368057,2541322
2332,2507877,28488854
2334,3624,23679117
2335,4867510,28648852
2336,1378,16418633
2337,3631807,28677452
2341,512386,25924523
2342,1227992,7396761
2343,671977,12979789
2344,4443263,28677492
2345,129097,3213293
2346,10360991,28676780
2347,4919272,28521568
2349,8550459,23331775
2350,7875323,26601298
2351,6197214,25332643
2352,6509618,27242935
2353,367618,2387146
2355,946641,28464320
2358,280212,21481110
2359,137,28648528
2360,709247,28201380
2363,2487846,26031830
2364,901816,28554957
2370,4761614,11035035
2373,2739530,23980261
2374,373823,15718405
2376,7241368,28278313
2377,44707,26731726
2378,900934,28456309
2380,2321183,24237263
2383,6509618,27242935
2384,3003634,23549889
2386,4196261,28640662
2387,1322515,28677702
2389,1797056,28677431
2390,6070540,26379343
2396,290457,28677480
2398,459007,28676762
2399,1810949,16722721
2402,484370,22366514
2403,5623501,28677661
2408,6197214,25332643
2409,505681,20871075
2410,114509,14279740
2411,8726826,28001861
2412,7483224,28437213
2414,10085204,28677639
2415,240835,23158008
2416,8442492,26845177
2421,1551369,28553113
2422,429706,28254077
2423,1593287,10490362
2426,484936,26626725
2427,21159,27745813
2428,4867510,28648852
2429,2505852,28496881
2430,6608916,23863224
2431,193106,4787650
2432,4130215,18532367
2435,3044,22942790
2438,227303,1803961
2440,60228,28168527
2443,10299268,28464320
2444,55057,28672165
2447,577668,12711013
2448,5308996,28677614
2450,167236,3472786
2452,1889828,28603757
2453,137,28648528
2455,7698292,28677680
2456,7517344,23810049
2457,113896,21627244
2458,1266210,28314241
2459,378310,27511719
2460,887316,28653200
2463,1138820,28065647
2464,8430611,28271647
2468,6197214,25332643
2470,10152875,23038334
2471,7336721,27059138
2472,280212,21481110
2474,6046418,28518336
2475,6046418,28518336
2477,1684950,28650038
2479,5190468,28674978
2480,9164578,25259522
2481,5076731,18020914
2483,493276,17536276
2485,5942963,28488471
2487,2678007,28673700
2488,1484485,23394077
2489,7991256,23419436
